,SEXO,EDAD,BECA18/REGULAR,MODALIDAD,CARRERA,TIPO_EBR,EBIO,EQUI,EFIS,EMAT,ECL
311,0,3,1,7,8,0,16,12,6,8,14
530,0,6,1,3,4,0,12,1,0,9,13
984,0,7,1,3,10,0,19,19,15,16,15
487,0,5,1,4,4,0,18,0,0,15,2
472,0,5,1,11,10,0,19,18,8,16,16
394,0,7,1,3,7,0,14,5,3,5,12
1441,1,3,1,5,13,0,17,0,0,13,17
622,0,9,1,3,2,1,19,0,0,6,14
367,0,2,1,5,11,0,17,10,5,5,14
1154,1,3,1,4,11,0,14,0,0,0,0
499,0,3,1,4,6,0,19,10,0,12,15
1481,1,3,1,3,10,0,16,15,14,20,14
77,0,3,0,4,11,0,19,15,14,14,14
698,0,4,1,4,10,0,19,19,13,18,17
1240,1,4,1,3,10,0,17,11,12,11,16
638,0,7,1,3,12,1,20,13,0,11,15
1165,1,5,1,10,4,0,17,11,0,11,14
1267,1,3,1,4,8,0,16,0,12,14,0
807,0,2,1,5,3,0,20,13,11,12,15
709,0,3,1,5,6,0,13,10,0,14,17
1424,1,3,1,7,8,0,0,0,0,0,0
393,0,3,1,4,14,0,18,3,5,0,7
751,0,4,1,4,10,0,18,14,11,14,0
1427,1,4,1,4,10,0,18,14,15,19,14
789,0,3,1,3,4,1,18,17,0,14,13
426,0,2,1,5,14,0,16,8,6,13,14
1483,1,4,1,4,10,0,19,15,17,18,14
1189,1,3,1,3,4,0,0,0,0,0,0
896,0,5,1,3,4,0,17,12,0,11,15
1523,1,3,1,3,10,0,18,15,8,19,12
75,0,3,0,4,5,1,13,4,6,9,11
1025,0,2,1,4,11,0,14,14,9,11,13
1199,1,4,1,3,10,0,18,15,13,16,14
606,0,4,1,4,10,0,19,8,1,8,0
578,0,6,1,3,12,0,16,16,0,10,15
1039,0,2,1,3,4,0,17,7,0,11,10
1299,1,3,1,4,5,0,15,13,6,14,16
507,0,2,1,7,8,0,19,10,0,12,13
1230,1,6,1,13,4,0,18,17,0,9,16
1257,1,8,1,3,14,0,20,8,4,9,14
1337,1,4,1,4,11,0,18,15,8,14,14
1118,1,2,1,5,9,0,16,9,5,10,12
1239,1,3,1,9,10,0,19,17,13,14,16
775,0,5,1,4,13,0,19,0,0,9,14
1166,1,2,1,9,8,0,16,14,7,0,0
992,0,4,1,3,4,1,12,12,0,8,11
1163,1,5,1,4,10,0,20,19,19,18,17
1465,1,3,1,11,10,0,0,0,0,0,0
689,0,4,1,4,14,0,0,0,0,0,8
781,0,3,1,4,10,0,18,16,15,17,18
475,0,5,1,9,4,1,9,1,0,4,0
477,0,2,1,9,6,0,0,0,0,0,0
1356,1,4,1,7,8,0,13,14,10,18,8
461,0,2,1,4,9,0,0,0,0,0,0
328,0,6,1,3,0,1,18,15,0,7,15
397,0,3,1,1,17,1,14,8,0,0,0
906,0,17,1,3,17,0,18,15,11,17,15
1524,1,4,1,4,4,1,18,15,0,14,14
902,0,2,1,7,8,0,16,12,10,16,13
382,0,2,1,7,8,0,0,0,0,0,15
1227,1,2,1,4,10,0,19,15,14,20,14
657,0,5,1,10,18,0,16,9,4,10,0
1000,0,2,1,4,8,0,14,5,12,11,13
757,0,2,1,5,14,0,10,8,7,16,11
1242,1,3,1,7,8,0,0,0,0,0,0
754,0,2,1,4,17,0,18,13,10,11,17
1393,1,4,1,4,15,0,18,15,9,15,14
596,0,2,1,5,12,0,16,0,0,0,0
635,0,3,1,7,8,0,20,15,14,20,14
1,0,10,0,3,4,1,12,3,0,4,6
609,0,4,1,4,11,0,17,13,11,7,16
1458,1,3,1,3,8,0,18,17,12,12,16
725,0,5,1,3,18,0,0,0,0,0,15
1121,1,4,1,9,10,1,17,13,16,17,16
1115,1,3,1,10,0,0,0,0,0,0,0
1095,1,4,1,0,10,0,20,16,14,18,13
1291,1,2,1,4,9,1,17,16,16,0,0
421,0,3,1,5,7,0,16,14,11,6,14
699,0,3,1,3,11,0,13,10,2,11,14
374,0,4,1,4,14,1,0,0,0,0,0
960,0,2,1,11,10,0,19,16,13,15,17
780,0,7,1,3,2,0,16,0,0,15,17
339,0,2,1,0,10,0,20,14,19,15,16
1486,1,3,1,7,8,0,17,13,16,6,12
430,0,6,1,3,14,1,16,15,12,14,15
1359,1,23,1,13,15,1,0,0,0,0,0
663,0,2,1,5,13,1,9,0,0,8,9
500,0,22,1,3,17,1,15,10,6,5,10
318,0,3,1,5,11,0,19,14,8,10,14
380,0,5,1,10,10,0,19,17,9,10,15
549,0,21,1,3,16,1,0,0,0,0,0
996,0,2,1,4,13,0,10,0,0,10,13
575,0,3,1,5,13,0,14,0,0,11,10
1521,1,3,1,7,8,0,13,4,1,7,16
1323,1,5,1,3,8,0,16,9,4,10,14
749,0,4,1,3,3,1,14,0,7,12,0
990,0,3,1,5,13,0,16,0,0,10,13
613,0,3,1,12,10,0,16,17,10,14,14
745,0,4,1,9,5,0,0,0,0,0,0
1438,1,4,1,4,9,0,16,6,8,10,0
587,0,3,1,3,13,1,14,0,0,16,10
670,0,2,1,11,10,0,17,14,8,19,0
413,0,6,1,3,4,0,0,0,0,0,0
277,0,3,1,4,5,0,19,11,4,10,15
766,0,3,1,5,13,0,18,0,0,10,13
442,0,5,1,3,11,0,5,8,6,8,3
953,0,3,1,7,8,0,16,7,7,6,14
1123,1,4,1,4,2,0,11,0,0,8,14
418,0,2,1,5,4,0,13,9,0,15,12
1044,0,2,1,4,4,1,13,3,0,9,11
904,0,2,1,3,12,0,0,0,0,0,0
422,0,2,1,5,4,0,14,10,7,16,15
768,0,2,1,5,5,1,0,0,0,0,0
1410,1,3,1,5,11,0,9,4,4,4,11
1036,0,2,1,3,5,0,12,8,3,8,9
741,0,7,1,14,0,0,19,12,0,6,13
322,0,4,1,4,10,0,19,14,9,15,15
1316,1,2,1,3,13,1,10,9,8,8,16
838,0,15,1,3,2,1,7,0,0,0,8
